,Feature Importance,Feature Name
0,0.0,CDWVLV
1,0.0,CH5ALARM
2,0.0,CH5_CHWSTSP_Alarm
3,0.0,CH4SURGECNT
4,0.0,CH4SBoolean
5,0.0,CH4F
6,0.0,CH4COM1S
7,0.0,CH4ALARM
8,0.0,CH4_CHWSTSP_Alarm
9,0.0,CH3SURGE
10,0.0,CH3S
11,0.0,CH3F
12,0.0,CH3COM1IGV
13,0.0,CH3CHWVLV
14,0.0,CH3AVAIL
15,0.0,CH3ALARM
16,0.0,CH3_CHWSTSP_Alarm
17,0.0,SCHWP5Failed
18,0.0,SCHWP4SS
19,0.0,SCHWP4S
20,0.0,CH5AVAIL
21,0.0,CH5CDWVLV
22,0.0,CH5CHWVLV
23,0.0,CH5COM1IGV
24,0.0,CT5SPD_Alarm
25,0.0,CT5Failed
26,0.0,CT4SS
27,0.0,CT4SPD_Alarm
28,0.0,CT4S
29,0.0,CT4Failed
30,0.0,CT4EVLV
31,0.0,CDWP5SS
32,0.0,CDWP5SPD_Alarm
33,0.0,SCHWP4Failed
34,0.0,CDWP5S
35,0.0,CDWP4SPD_Alarm
36,0.0,CDWP4Failed
37,0.0,CDWP3SPD_Alarm
38,0.0,CDWP3Failed
39,0.0,CH5SURGECNT
40,0.0,CH5SURGE
41,0.0,CH5S
42,0.0,CH5F
43,0.0,CH5COM1S
44,0.0,CDWP5Failed
45,0.0,SCHWP3SS
46,0.0,OptimumControl
47,0.0,SCHWP3S
48,0.0,CDWVLV2
49,0.0,PCHWP4Failed
50,0.0,PCHWP3Failed
51,0.0,SCHWP3Failed
52,0.0,PCHWP5SS
53,0.0,CLGMODE
54,0.0,LOOPREQ
55,0.0,CommunicationFailure
56,0.0,HX1CHWVLV
57,0.0,PCHWP5S
58,0.0,CTTR_ALARM
59,0.0,PCHWP5Failed
60,0.0,HX1CDWVLV
61,5.749560489379512e-05,CH5SBoolean
62,0.00011775084113204612,PCHWP4SS
63,0.0005990169494992615,CH3SS
64,0.0007762387788027325,CH4AVAIL
65,0.0009845844746656683,CH3SBoolean
66,0.0025836269713954644,CH4COM1SPD
67,0.0036613231903841444,CDWP3HZ
68,0.0037333165111758403,CH4CHWVLV
69,0.00482432248427284,CDWP3S
70,0.005288059819511,PCHWP4S
71,0.006286135827077872,PCHWP3SS
72,0.006725893764111656,CH3COM1S
73,0.008736073655374795,CDWP3SPD
74,0.00949650018421946,CH4S
75,0.010845967886846209,CH3SURGECNT
76,0.010943088274889096,CH4SS
77,0.013643335569360236,CT5S
78,0.015878369141166138,CDWP3SS
79,0.017915178291639276,CDWP4S
80,0.01844311474116318,SCHWP5S
81,0.019119811793318904,SCHWP5SS
82,0.01965263812010956,CDWP4SS
83,0.023852007037152626,CH3FLA
84,0.026305897104017165,CT5SS
85,0.026374123962891287,PCHWP4HZ
86,0.02974838610144037,CH5SS
87,0.0327806345723672,CT5EVLV
88,0.04095995837260674,CH4FLA
89,0.04434461879223166,CH3EVT
90,0.052664727941172225,HX1CHWST
91,0.05680554854425222,PCHWP4SPD
92,0.05858753826507937,CDWP4HZ
93,0.06346459047990659,CH4EVP
94,0.06346963491435621,CH4EVT
95,0.06599264060855992,CH3CHWFLO
